,Title,Published_date,Views,Likes,Comments,Month
0,"Rukri Ma - Kuma Sagar ll Rudrayani - Shree Kali Devi, Khokana",2024-11-18,634180,15745,578,Nov
1,"Kuma Sagar - ""Dharke Jhola"" ft. Suren Lama",2024-07-23,443682,10322,236,Jul
2,Furfuri - Kuma Sagar,2024-06-14,5326079,47852,899,Jun
3,Chahare Sari - Daaya Taya ( Bhagwan sari),2024-02-28,2037326,22040,599,Feb
4,Harey - Kuma Sagar  ( Raw ),2024-01-06,169940,3332,119,Jan
5,A Mai Re                                                      #thimi #concerts #hawakolahar,2023-12-13,21325,1591,21,Dec
6,"""Oh Champa"" Tarani Janani – Kuma Sagar Official video",2023-10-15,4814732,43623,928,Oct
7,A Mai Re ll Kuma Sagar  ' Hawa Ko Lahar ',2023-08-22,9823122,72188,1493,Aug
8,Shree Brahmayani Rani,2023-07-22,17232,1073,18,Jul
9,'' Ohh Champa ''  Tarani Janani - Kuma Sagar,2023-03-17,906963,8727,332,Mar
10,Chameli Phoola “Champa” ft. Anish Maharjan ll Official Video,2022-07-07,4928317,32635,443,Jul
11,Chameli phoola ft. Anish maharjan,2022-05-24,90891,1491,38,May
12,Ma (Cycle) ll Official Music Video ll Kuma Sagar,2021-11-04,358652,7229,230,Nov
13,MaleGaun ll Kuma Sagar,2021-09-03,114799,3609,106,Sep
14,BAJEKO BAJANG ll KUMA SAGAR ll GHAR MAI RECORD SEASON,2020-04-21,1160967,17371,368,Apr
15,SATH DEUNA ll ACOUSTIC ll GHAR MAI RECORD SEASON,2020-02-09,58668,1987,102,Feb
16,Live Stream,2018-10-29,0,8,0,Oct
17,bhaktapurian rockers product Live Stream,2017-11-03,0,0,0,Nov
18,My mom funny sing on bigo live 😍,2017-09-21,38825,1185,14,Sep
